wallet,tx_count,total_value_eth_sent,total_value_eth_received,avg_gas,unique_recipients,unique_senders,contract_call_ratio,tx_frequency,tokens_sent_count,tokens_received_count,unique_tokens_sent,unique_tokens_received
0x0084dfd7202e5f5c0c8be83503a492837ca3e95e,2.0,0.0,48.92897471,225000.0,2.0,2.0,1.0,2.0,2.0,11.0,2.0,6.0
0x008561da3c1dca446dbf84db1dc778cf801fc8a4,2.0,0.0,0.0,46133.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
0x008d9d457ad0a75c83d9a5e2b8e4ce89232b5083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0
0x008dc74cecc9deda8595b2fe210ce5979f0bfa8e,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0x008e4ab9be64f2051efbd3cf1269b903bf215953,1.0,0.0,0.0,559414.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0
0x008e92662105264498775c8282334b6599db57fe,3.0,0.0,0.0,315469.6666666667,3.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0
0x00907f9921424583e7ffbfedf84f92b7b2be4977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0
0x0090ac276c0a7e0a17770729e450a2a9753f2d04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,44.0,4.0,4.0
0x0090c204d11e9006536703f02c80d2281d75ac00,3.0,0.0,0.0,129578.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0
0x009358b1507476529df8758021ce6074e824432c,6.0,2.879016820800694,2.8792739929762137,21000.0,1.0,5.0,0.0,6.0,0.0,1.0,0.0,1.0
0x0095ebb257313f698b6fc8153bac8cb9faf65b24,2.0,0.2649436217582383,0.135,216862.5,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0
0x0096a80a2547e8041111dd1d7af8eeb2b80582a1,1.0,0.175,0.35279039999999995,255259.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0
0x009a547d6673350f16932099f57a433011e06a9f,15.0,0.0021449968809782,0.0,21000.0,1.0,0.0,0.0,15.0,0.0,18.0,0.0,3.0
0x009a8dbad7000f0000009b002d050058ca881b57,0.0,0.0,8.975000000000001e-15,0.0,0.0,2.0,0.0,0.0,61.0,64.0,10.0,11.0
0x009a9cd6e7f65055fd404e8c8e779d5e4b037a26,6.0,0.7843,0.6382494519385511,31500.0,3.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0
0x009c0e9f1adc13ce3276ee55a1329ae7693536c3,3.0,0.0805903161489596,0.0011089958703532,128978.66666666667,3.0,1.0,0.6666666666666666,3.0,1.0,1.0,1.0,1.0
0x009c7f4b7bb43dec883c168cd63b9a79092e90c5,11.0,0.0545996358813721,0.054996877445794796,21284.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0
0x009ce7b5d7c2d691daf300cb0f6ee318ea9d43c1,3.0,0.0,0.0,54235.333333333336,1.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0
0x009dc1a76c603ee1f1ab78803ff2a9493890c99d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
0x00a26ac6fa704a4d46ab507d182cc992cbfdb675,4.0,0.0960808260531254,0.054181330931116004,113386.0,3.0,2.0,0.75,4.0,1.0,0.0,1.0,0.0
0x00a57e7bff86f13a1bb802545d60a355e5dabed9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,2.0
