wallet,pca1,pca2,umap1,umap2,km_cluster,db_cluster,hdb_cluster,archetype
0x0090ac276c0a7e0a17770729e450a2a9753f2d04,-3.525493246128171,3.5890419360839902,14.213779,-7.877926,0,4,3,Casual ETH user
0x0090c204d11e9006536703f02c80d2281d75ac00,1.0778464655758764,-0.21269753885045056,16.697893,-2.0369415,3,3,8,Token receiver / airdrop
0x009358b1507476529df8758021ce6074e824432c,0.951389965913295,-0.6409512550760447,7.4173794,-3.6367102,2,-1,-1,Likely bot / MEV
0x0095ebb257313f698b6fc8153bac8cb9faf65b24,0.7900222805352273,-1.1220262401793155,9.865621,7.434349,2,6,6,Likely bot / MEV
0x0096a80a2547e8041111dd1d7af8eeb2b80582a1,0.40888568339219644,-1.166647354651101,10.078405,7.2703104,3,6,6,Token receiver / airdrop
0x009a547d6673350f16932099f57a433011e06a9f,0.9790413113684252,0.3982328061079374,11.963187,7.419594,3,-1,-1,Token receiver / airdrop
0x009a8dbad7000f0000009b002d050058ca881b57,-3.8656951776526163,5.2700567510506975,13.183518,-8.443894,0,-1,-1,Casual ETH user
0x009a9cd6e7f65055fd404e8c8e779d5e4b037a26,1.2195177417707286,-1.0164528132051314,7.0201883,7.81442,2,-1,5,Likely bot / MEV
0x009c0e9f1adc13ce3276ee55a1329ae7693536c3,1.0179967923312547,-0.4030075538885749,14.220629,-13.090881,3,3,7,Token receiver / airdrop
0x009c7f4b7bb43dec883c168cd63b9a79092e90c5,1.2407078034966825,-2.2199613499741493,5.5468707,-4.4665017,2,2,4,Likely bot / MEV
0x009ce7b5d7c2d691daf300cb0f6ee318ea9d43c1,0.6842245507779968,0.06363014515743876,17.451729,-0.46798322,3,3,8,Token receiver / airdrop
0x009dc1a76c603ee1f1ab78803ff2a9493890c99d,-2.5772972458931274,-1.2653270523821414,-6.318104,-11.798756,0,0,2,Casual ETH user
0x00a26ac6fa704a4d46ab507d182cc992cbfdb675,1.4423324679108334,-1.2709652385689616,7.322754,7.2308955,2,7,5,Likely bot / MEV
0x00a57e7bff86f13a1bb802545d60a355e5dabed9,-3.0824439976061653,1.4106711395970357,29.033752,0.16812468,0,4,3,Casual ETH user
0x00a5d9a2de37af6aa5b8bc10ef9c29349df56353,0.10029480271083083,0.27931126332132095,4.5832496,11.0866,3,3,8,Token receiver / airdrop
0x00a6ba94bbb5474725515de88fe04f854f2dcb12,-2.421121729045669,-2.8152539612420435,15.096097,15.594641,0,1,0,Casual ETH user
0x00a79ad847518163fee91e39777aa718d28849e5,1.0822367587792168,0.6697726460293173,12.145725,-3.5724616,3,3,7,Token receiver / airdrop
0x00a7a8fdb9a61f85dd8f926f4e1723927a18c9f3,-2.300878972607168,-2.7339285685954335,-3.9253464,14.414857,0,1,0,Casual ETH user
0x00a86f6fadb9e070a745af877909059221023824,0.5136723810914542,0.543941240290955,6.97246,-0.07101545,3,3,8,Token receiver / airdrop
0x00aac9a393ddd5504682a7077b733047ba3e5e10,2.0216863391529216,0.7673249915324453,10.337136,-0.9966511,3,-1,-1,Token receiver / airdrop
0x00abd204bc827c7ef26a70eaf17e86eb7e3ee596,0.46409794778816726,-0.14361019408915487,15.865409,2.681076,3,3,7,Token receiver / airdrop
0x00ac530082eb9f8cfd80d9290c114817e3378643,-2.692215408899735,-0.4932141675894545,-12.635077,10.266222,0,0,2,Casual ETH user
0x00ac5ff8889dca2970f5703d0883e1b9e2fc8643,0.8137940255472513,-0.5281930752286711,4.61002,7.05491,3,7,5,Token receiver / airdrop
0x00acd70270bd80c75ee70e5aac25e82364c4764e,0.577849967681121,2.2474897934869187,10.059341,-1.8172101,1,-1,-1,Active DeFi user
0x00ad3bd84fdb35723e0eed505c247655a86d6e9e,0.21465150209227477,1.1199457822438035,11.5049515,-5.1700444,3,3,7,Token receiver / airdrop
0x00ae50ae720e872bf06e874d311bff848694ad75,0.8358659425732533,1.0474094947629944,13.313813,-2.4554932,3,3,7,Token receiver / airdrop
0x00afdbe6cbbcd39ab1a9815c58bf0d58ffd88d8f,0.9993524890326716,-2.2221663673187764,6.3051248,-5.319967,2,2,4,Likely bot / MEV
0x00b057abfe7baa1ac05151c54579498d13d6679c,0.33393797279102455,-1.5146251895140115,7.0531864,-12.991164,2,7,5,Likely bot / MEV
0x00b2c1124270349e066e7878f5f4f219ddcad7e1,0.2544334341491758,-0.18055699339823753,18.07487,4.7141743,3,3,8,Token receiver / airdrop
0x00b2c8db5ca4ccacbddf5f2ada74766d12923d9b,1.0745202545984582,1.5451582897951837,13.454834,1.9154767,3,3,8,Token receiver / airdrop
